FX_M_PVP049_CJ_YZZ_011 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_LYF_004 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_LYF_005 | <effect>_ML/Additive_ML
FX_M_PVP_M8_LYF_008 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_LYF_009 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_001 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_002 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_003 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_004 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_005 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_006 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_007 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_008 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_009 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_010 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_011 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_012 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_013 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_014 | <effect>_ML/Additive_ML
FX_M_PVP_M8_WHM_015 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_016 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_017 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_019 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_020 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_022 | <effect>_ML/BlendedUV_ML
FX_M_PVP_M8_WHM_023 | <effect>_ML/AdditiveUV_ML
FX_M_PVP_M8_WHM_024 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_025 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_026 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_027 | <effect>_ML/BlendedUV_ML
FX_M_PVP_M8_WHM_028 | <effect>_ML/BlendedUV_ML
FX_M_PVP_M8_WHM_029 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_030 | <effect>_ML/AdditiveUV_ML
FX_M_PVP_M8_WHM_031 | <effect>_ML/AdditiveUV_ML
FX_M_PVP_M8_WHM_032 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_033 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
FX_M_PVP_M8_WHM_034 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_035 | <effect>_ML/BlendedUV_ML
FX_M_PVP_M8_WHM_036 | <effect>_ML_uv/ParticleFx_Pa_Add_ND
FX_M_PVP_M8_WHM_037 | <effect>_ML/AdditiveUV_ML
FX_M_PVP_M8_WHM_038 | <effect>_ML_uv/ParticleFx_Pa_Blend_ND
ML_049_ObAdvert_G1_1_yezi | Scene/S5_S4/Scene_Plant_MBR_MergeAlpha
ML_049_ob_01_M | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_3 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_4 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_5 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_6 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_7 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G1_8 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_3 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_4 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_5 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_6 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_7 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G2_8 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G3_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G3_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G3_3 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G3_4 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G3_5 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G3_6 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G4_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_G4_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q1_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q1_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_3 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_4 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_5 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_6 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_7 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q2_8 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q3_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q3_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q3_3 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q3_4 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q3_5 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q3_6 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q4_1 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
ML_049_ob_Q4_2 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
PVP_049_2026s4_crystal_02 | BattleShaders/BattleScene/BattleScene_Crystal
PVP_049_2026s4_grass_samll_01 | Scene/GrassBlend
PVP_049_2026s4_wildplant_01 | Scene/S5_S4/Scene_Plant_MBR_MergeAlpha
PVP_049_2026s5_bluebuff_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_bluebuff_02 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_bluebuff_03 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_bluebuff_04_new | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_bluebuff_05 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_bluebuff_06 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_bluebuff_07 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_dizuo_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_dizuo_02 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_gaodiweiqiang_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_hedao_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_jidiqiang_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_jidiweiqiang_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_longkeng_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_outsidzhuzi_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_qiu_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_r_jidiqiang_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_r_qiu_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_r_wandcrystal_01 | BattleShaders/BattleScene/BattleScene_Crystal
PVP_049_2026s5_redbuff_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_redbuff_02 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_redbuff_03 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_redbuff_04 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_redbuff_05_new | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_redbuff_06_new | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_redbuff_07 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_redbuff_08 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_shanshi_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_shanshi_02 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_shanshi_03 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_shanshi_04 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_statue_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_statue_02 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_statue_03 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_tree_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_tree_02 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_waiweihuatan_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_wall_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_2026s5_wandcrystal_01 | BattleShaders/BattleScene/BattleScene_Crystal
PVP_049_M8_M8trophy_01 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
PVP_049_M8_blueflag_01 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
PVP_049_M8_building_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_M8_building_02 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_M8_dibiaobake_01 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_02 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_03 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_04 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_05 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_06 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_07 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_08 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_09 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_10 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_11 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_12 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_13 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_14 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_15 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_dibiaobake_16 | Scene/S5_S4/Scene_Ground_MBR_Diffuse
PVP_049_M8_gaodidibiao_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_M8_hedaobake_03 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hedaobake_06 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hedaobake_07 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hedaobake_08 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hedaobake_09 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hedaobake_10 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hedaobake_11 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hedaobake_14 | BattleShaders/BattleScene/BattleScene_River
PVP_049_M8_hotballoon_01 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
PVP_049_M8_hotballoon_02 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
PVP_049_M8_jar_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_M8_plinth_01 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
PVP_049_M8_redflag_01 | BattleShaders/BattleScene/BattleScene_DynamicObject_NoShadow
PVP_049_M8_skybox_01 | Scene/S3_S1/Scene_Stone&Metal&Ground_MBR_Low
PVP_049_M8_tower_01 | BattleShaders/BattleScene/BattleScene_Standard
PVP_049_M8s4_grass_01 | Scene/S5_S4/Scene_Plant_MBR_MergeAlpha(OB)
PVP_049_M8s4_leaf_01 | Scene/S5_S4/Scene_Plant_MBR_MergeAlpha(OB)
fanshe_01_SimpleWaterReflection | BattleShaders/BattleScene/BattleScene_Reflection
fanshe_SimpleWaterReflection | BattleShaders/BattleScene/BattleScene_Reflection
tripo_node_pbr01 | BattleShaders/BattleHero/BattleHero(4.0)_Monster
tripo_node_pbr02 | BattleShaders/BattleHero/BattleHero(4.0)_Monster
tripo_node_pbr03 | BattleShaders/BattleHero/BattleHero(4.0)_Monster
